"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"TRIML2","TRIML2",2,10,1.231,"0.131-5.787",0.679878101976289,1
"TRIO","TRIO",21,92,1.412,"0.831-2.3",0.170162606110046,1
"TRIOBP","TRIOBP",20,87,1.422,"0.824-2.345",0.160138872129822,1
"TRIP10","TRIP10",1,22,0.279,"0.007-1.729",0.238930332860639,1
"TRIP11","TRIP11",9,33,1.683,"0.706-3.609",0.177266523563733,1
"TRIP12","TRIP12",3,27,0.683,"0.132-2.224",0.790947924273004,1
"TRIP13","TRIP13",0,6,0,"0-5.227",1,1
"TRIP4","TRIP4",2,18,0.683,"0.077-2.859",1,1
"TRIP6","TRIP6",6,17,2.178,"0.701-5.805",0.122188966328926,1
"TRIQK","TRIQK",0,2,0,"0-32.757",1,1
"TRIT1","TRIT1",4,13,1.896,"0.449-6.153",0.282760427400664,1
"TRMT1","TRMT1",4,24,1.025,"0.258-2.993",1,1
"TRMT10A","TRMT10A",2,13,0.946,"0.104-4.189",1,1
"TRMT10B","TRMT10B",3,8,2.31,"0.394-9.644",0.190882615970189,1
"TRMT10C","TRMT10C",4,3,8.225,"1.389-56.238",0.00935831282723543,1
"TRMT11","TRMT11",3,18,1.025,"0.193-3.521",1,1
"TRMT112","TRMT112",2,8,1.539,"0.159-7.725",0.639392254739406,1
"TRMT12","TRMT12",3,8,2.31,"0.394-9.644",0.190882615970189,1
"TRMT13","TRMT13",2,15,0.82,"0.091-3.534",1,1
"TRMT1L","TRMT1L",2,18,0.683,"0.077-2.859",1,1
"TRMT2A","TRMT2A",3,36,0.511,"0.101-1.623",0.354695261864882,1
"TRMT2B","TRMT2B",0,11,0,"0-2.451",0.381372621441588,1
"TRMT44","TRMT44",8,28,1.763,"0.693-3.985",0.150263773823295,1
"TRMT5","TRMT5",1,10,0.615,"0.014-4.33",1,1
"TRMT6","TRMT6",2,9,1.368,"0.144-6.62",0.658821194906285,1
"TRMT61A","TRMT61A",3,13,1.421,"0.259-5.182",0.481390254039294,1
"TRMT61B","TRMT61B",5,17,1.813,"0.522-5.133",0.220866241845021,1
