"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"A1BG","A1BG",3,13,1.421,"0.259-5.182",0.481390254039294,1
"A1CF","A1CF",3,13,1.421,"0.259-5.182",0.481390254039294,1
"A2M","A2M",5,33,0.932,"0.283-2.409",1,1
"A2ML1","A2ML1",7,52,0.827,"0.316-1.834",0.849987422311981,1
"A3GALT2","A3GALT2",3,16,1.154,"0.215-4.041",0.741504891089014,1
"A4GALT","A4GALT",1,14,0.439,"0.01-2.89",0.709996289764432,1
"A4GNT","A4GNT",0,9,0,"0-3.117",0.622676612666482,1
"AAAS","AAAS",2,25,0.491,"0.056-1.975",0.57415365729949,1
"AACS","AACS",6,22,1.681,"0.556-4.289",0.269597015607519,1
"AADAC","AADAC",0,13,0,"0-2.018",0.237075628696029,1
"AADACL2","AADACL2",2,11,1.119,"0.12-5.136",0.701727828969992,1
"AADACL3","AADACL3",3,9,2.053,"0.357-8.245",0.22966252990832,1
"AADACL4","AADACL4",2,12,1.025,"0.111-4.615",1,1
"AADAT","AADAT",0,4,0,"0-9.323",1,1
"AAED1","AAED1",2,12,1.025,"0.111-4.615",1,1
"AAGAB","AAGAB",4,13,1.896,"0.449-6.153",0.282760427400664,1
"AAK1","AAK1",6,29,1.274,"0.431-3.133",0.622339269721269,1
"AAMDC","AAMDC",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AAMP","AAMP",3,8,2.31,"0.394-9.644",0.190882615970189,1
"AANAT","AANAT",2,10,1.231,"0.131-5.787",0.679878101976289,1
"AAR2","AAR2",0,14,0,"0-1.854",0.241575351311578,1
"AARD","AARD",2,5,2.463,"0.234-15.066",0.255111685903417,1
"AARS","AARS",5,31,0.992,"0.301-2.582",1,1
"AARS2","AARS2",10,30,2.06,"0.896-4.346",0.0625004793313179,1
"AARSD1","AARSD1",5,16,1.927,"0.551-5.519",0.202045084099006,1
"AASDH","AASDH",3,27,0.683,"0.132-2.224",0.790947924273004,1
"AASDHPPT","AASDHPPT",1,4,1.538,"0.031-15.557",0.529226454405268,1
"AASS","AASS",3,24,0.768,"0.148-2.537",1,1
"AATF","AATF",2,22,0.558,"0.064-2.277",0.565568150629973,1
"AATK","AATK",12,46,1.612,"0.774-3.105",0.179412019507588,1
"ABAT","ABAT",1,6,1.025,"0.022-8.464",1,1
"ABCA1","ABCA1",14,46,1.884,"0.953-3.503",0.0581853107434647,1
"ABCA10","ABCA10",5,34,0.904,"0.275-2.331",1,1
"ABCA12","ABCA12",13,61,1.315,"0.66-2.43",0.397499041714452,1
"ABCA13","ABCA13",25,133,1.16,"0.721-1.799",0.486869002050556,1
"ABCA2","ABCA2",9,71,0.778,"0.341-1.568",0.625945370191442,1
"ABCA3","ABCA3",10,49,1.258,"0.566-2.524",0.455071874524004,1
"ABCA4","ABCA4",20,108,1.142,"0.668-1.862",0.606393315544771,1
"ABCA5","ABCA5",13,43,1.87,"0.919-3.559",0.0528335833911204,1
"ABCA6","ABCA6",12,45,1.648,"0.791-3.18",0.12535945706608,1
"ABCA7","ABCA7",20,98,1.26,"0.734-2.065",0.348539827704937,1
"ABCA8","ABCA8",11,32,2.126,"0.964-4.345",0.0429705891176471,1
"ABCA9","ABCA9",5,38,0.808,"0.248-2.064",0.826397090296508,1
"ABCB1","ABCB1",6,25,1.479,"0.495-3.705",0.431092104507621,1
"ABCB10","ABCB10",9,27,2.059,"0.85-4.527",0.0851722866619472,1
"ABCB11","ABCB11",5,37,0.83,"0.254-2.125",0.826339860035477,1
"ABCB4","ABCB4",9,50,1.108,"0.478-2.285",0.708201304715039,1
"ABCB5","ABCB5",9,52,1.065,"0.46-2.19",0.852616619852414,1
"ABCB6","ABCB6",7,25,1.727,"0.629-4.121",0.199718418580893,1
"ABCB7","ABCB7",1,6,1.025,"0.022-8.464",1,1
"ABCB8","ABCB8",9,22,2.529,"1.022-5.734",0.0316362603760691,1
"ABCB9","ABCB9",2,32,0.383,"0.044-1.506",0.219215505865507,1
"ABCC1","ABCC1",4,44,0.558,"0.145-1.536",0.400265205428243,1
"ABCC10","ABCC10",12,58,1.276,"0.621-2.412",0.486547292979162,1
"ABCC11","ABCC11",8,51,0.965,"0.394-2.056",1,1
"ABCC12","ABCC12",3,47,0.391,"0.078-1.218",0.147892755272585,1
"ABCC2","ABCC2",7,51,0.843,"0.322-1.873",0.849244914937769,1
"ABCC3","ABCC3",10,57,1.08,"0.49-2.143",0.859016295364933,1
"ABCC4","ABCC4",6,25,1.479,"0.495-3.705",0.431092104507621,1
"ABCC5","ABCC5",8,24,2.058,"0.797-4.751",0.0765854086621856,1
"ABCC6","ABCC6",15,58,1.599,"0.839-2.872",0.124124236770365,1
"ABCC8","ABCC8",7,32,1.348,"0.501-3.12",0.4846360456666,1
"ABCC9","ABCC9",4,21,1.172,"0.292-3.484",0.770935104837492,1
"ABCD1","ABCD1",4,11,2.241,"0.52-7.581",0.146976758973893,1
"ABCD2","ABCD2",0,10,0,"0-2.745",0.375510171744492,1
"ABCD3","ABCD3",2,15,0.82,"0.091-3.534",1,1
"ABCD4","ABCD4",4,24,1.025,"0.258-2.993",1,1
"ABCE1","ABCE1",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"ABCF1","ABCF1",9,23,2.419,"0.982-5.445",0.0353410762522546,1
"ABCF2","ABCF2",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"ABCF3","ABCF3",4,19,1.296,"0.32-3.91",0.552339193553217,1
"ABCG1","ABCG1",2,18,0.683,"0.077-2.859",1,1
"ABCG2","ABCG2",3,15,1.231,"0.228-4.362",0.731093398242643,1
"ABCG4","ABCG4",2,16,0.768,"0.086-3.276",1,1
"ABCG5","ABCG5",3,34,0.541,"0.106-1.727",0.472803566220935,1
"ABCG8","ABCG8",7,29,1.488,"0.549-3.483",0.334197936694486,1
"ABHD1","ABHD1",1,11,0.559,"0.013-3.852",1,1
"ABHD10","ABHD10",0,10,0,"0-2.745",0.375510171744492,1
"ABHD11","ABHD11",4,11,2.241,"0.52-7.581",0.146976758973893,1
"ABHD12","ABHD12",5,16,1.927,"0.551-5.519",0.202045084099006,1
"ABHD12B","ABHD12B",2,16,0.768,"0.086-3.276",1,1
"ABHD13","ABHD13",0,5,0,"0-6.716",1,1
"ABHD14A","ABHD14A",2,11,1.119,"0.12-5.136",0.701727828969992,1
"ABHD14A-ACY1","ABHD14A-ACY1",5,26,1.184,"0.354-3.142",0.793547316350366,1
"ABHD14B","ABHD14B",1,12,0.512,"0.012-3.468",1,1
"ABHD15","ABHD15",2,23,0.534,"0.061-2.167",0.566040083512449,1
"ABHD16A","ABHD16A",0,16,0,"0-1.594",0.150920920483747,1
"ABHD16B","ABHD16B",7,24,1.799,"0.653-4.318",0.188498230976817,1
"ABHD17A","ABHD17A",2,9,1.368,"0.144-6.62",0.658821194906285,1
"ABHD17B","ABHD17B",0,6,0,"0-5.227",1,1
"ABHD17C","ABHD17C",1,4,1.538,"0.031-15.557",0.529226454405268,1
"ABHD2","ABHD2",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"ABHD3","ABHD3",0,7,0,"0-4.27",0.603344925597232,1
"ABHD4","ABHD4",2,14,0.879,"0.097-3.834",1,1
"ABHD5","ABHD5",0,3,0,"0-14.893",1,1
"ABHD6","ABHD6",1,5,1.23,"0.026-11.012",0.595101749677219,1
"ABHD8","ABHD8",1,10,0.615,"0.014-4.33",1,1
"ABI1","ABI1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"ABI2","ABI2",2,9,1.368,"0.144-6.62",0.658821194906285,1
"ABI3","ABI3",4,17,1.449,"0.354-4.454",0.523188248243264,1
"ABI3BP","ABI3BP",8,38,1.297,"0.521-2.833",0.51995034926621,1
"ABL1","ABL1",4,26,0.946,"0.239-2.735",1,1
"ABL2","ABL2",3,23,0.802,"0.154-2.661",1,1
"ABLIM1","ABLIM1",0,27,0,"0-0.899",0.0256977267768464,1
"ABLIM2","ABLIM2",2,24,0.512,"0.059-2.066",0.568979735906133,1
"ABLIM3","ABLIM3",3,29,0.635,"0.124-2.055",0.612234109145144,1
"ABR","ABR",3,18,1.025,"0.193-3.521",1,1
"ABRA","ABRA",3,15,1.231,"0.228-4.362",0.731093398242643,1
"ABRACL","ABRACL",0,3,0,"0-14.893",1,1
"ABT1","ABT1",0,6,0,"0-5.227",1,1
"ABTB1","ABTB1",5,22,1.4,"0.413-3.8",0.415376105815866,1
"ABTB2","ABTB2",13,39,2.064,"1.007-3.965",0.0412676834960906,1
"AC000003.2","AC000003.2",0,1,0,"0-239.007",1,1
"AC002310.13","AC002310.13",0,4,0,"0-9.323",1,1
"AC002365.1","AC002365.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC002451.1","AC002451.1",1,7,0.879,"0.019-6.851",1,1
"AC002472.1","AC002472.1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"AC002472.13","AC002472.13",4,14,1.76,"0.421-5.62",0.30354301091107,1
"AC003002.6","AC003002.6",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC003006.7","AC003006.7",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC003101.1","AC003101.1",0,1,0,"0-239.007",1,1
"AC003102.1","AC003102.1",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC004017.1","AC004017.1",0,1,0,"0-239.007",1,1
"AC004076.7","AC004076.7",0,1,0,"0-239.007",1,1
"AC004076.9","AC004076.9",2,0,Inf,"1.156-Inf",0.0195378017873831,1
"AC004381.6","AC004381.6",4,9,2.74,"0.615-9.84",0.0962064612160935,1
"AC004466.1","AC004466.1",0,2,0,"0-32.757",1,1
"AC004817.1","AC004817.1",0,2,0,"0-32.757",1,1
"AC004824.2","AC004824.2",0,1,0,"0-239.007",1,1
"AC004899.1","AC004899.1",0,1,0,"0-239.007",1,1
"AC005003.1","AC005003.1",2,6,2.052,"0.202-11.499",0.310577073195175,1
"AC005082.1","AC005082.1",0,4,0,"0-9.323",1,1
"AC005358.1","AC005358.1",2,18,0.683,"0.077-2.859",1,1
"AC005477.1","AC005477.1",0,2,0,"0-32.757",1,1
"AC005481.5","AC005481.5",0,2,0,"0-32.757",1,1
"AC005493.1","AC005493.1",0,1,0,"0-239.007",1,1
"AC005544.1","AC005544.1",0,1,0,"0-239.007",1,1
"AC005609.1","AC005609.1",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"AC005841.1","AC005841.1",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"AC006116.20","AC006116.20",0,2,0,"0-32.757",1,1
"AC006126.3","AC006126.3",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC006372.1","AC006372.1",0,3,0,"0-14.893",1,1
"AC006449.1","AC006449.1",0,1,0,"0-239.007",1,1
"AC006486.1","AC006486.1",1,7,0.879,"0.019-6.851",1,1
"AC006486.9","AC006486.9",0,1,0,"0-239.007",1,1
"AC006538.4","AC006538.4",0,4,0,"0-9.323",1,1
"AC006547.14","AC006547.14",4,15,1.643,"0.396-5.169",0.326861544700347,1
"AC006946.15","AC006946.15",0,6,0,"0-5.227",1,1
"AC006967.1","AC006967.1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AC007040.11","AC007040.11",1,4,1.538,"0.031-15.557",0.529226454405268,1
"AC007204.1","AC007204.1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AC007375.1","AC007375.1",0,7,0,"0-4.27",0.603344925597232,1
"AC007382.1","AC007382.1",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC007401.2","AC007401.2",0,2,0,"0-32.757",1,1
"AC007461.1","AC007461.1",0,1,0,"0-239.007",1,1
"AC007557.1","AC007557.1",0,5,0,"0-6.716",1,1
"AC007952.5","AC007952.5",0,2,0,"0-32.757",1,1
"AC007956.1","AC007956.1",0,4,0,"0-9.323",1,1
"AC008060.7","AC008060.7",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC008132.13","AC008132.13",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AC008267.1","AC008267.1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC008271.1","AC008271.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC008394.1","AC008394.1",0,1,0,"0-239.007",1,1
"AC008443.1","AC008443.1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AC008498.1","AC008498.1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC008686.1","AC008686.1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AC008914.1","AC008914.1",0,1,0,"0-239.007",1,1
"AC009041.2","AC009041.2",0,2,0,"0-32.757",1,1
"AC009060.1","AC009060.1",0,1,0,"0-239.007",1,1
"AC009065.1","AC009065.1",0,6,0,"0-5.227",1,1
"AC009365.3","AC009365.3",0,1,0,"0-239.007",1,1
"AC010327.2","AC010327.2",1,7,0.879,"0.019-6.851",1,1
"AC010336.1","AC010336.1",1,15,0.41,"0.01-2.667",0.714917673307461,1
"AC010441.1","AC010441.1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"AC010536.1","AC010536.1",0,6,0,"0-5.227",1,1
"AC010760.1","AC010760.1",0,1,0,"0-239.007",1,1
"AC011239.1","AC011239.1",0,1,0,"0-239.007",1,1
"AC011294.3","AC011294.3",0,2,0,"0-32.757",1,1
"AC011366.3","AC011366.3",0,1,0,"0-239.007",1,1
"AC011475.1","AC011475.1",0,1,0,"0-239.007",1,1
"AC011484.1","AC011484.1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AC011500.1","AC011500.1",2,5,2.463,"0.234-15.066",0.255111685903417,1
"AC011530.4","AC011530.4",0,4,0,"0-9.323",1,1
"AC011551.3","AC011551.3",0,2,0,"0-32.757",1,1
"AC011897.1","AC011897.1",0,3,0,"0-14.893",1,1
"AC011997.1","AC011997.1",0,2,0,"0-32.757",1,1
"AC012123.1","AC012123.1",8,8,6.189,"2.02-18.96",0.000644894109833262,1
"AC012313.1","AC012313.1",4,21,1.172,"0.292-3.484",0.770935104837492,1
"AC012360.2","AC012360.2",0,1,0,"0-239.007",1,1
"AC012414.1","AC012414.1",0,2,0,"0-32.757",1,1
"AC012493.2","AC012493.2",0,1,0,"0-239.007",1,1
"AC013449.1","AC013449.1",0,8,0,"0-3.605",0.610068929015988,1
"AC015660.1","AC015660.1",0,1,0,"0-239.007",1,1
"AC015987.2","AC015987.2",1,9,0.683,"0.016-4.939",1,1
"AC015989.2","AC015989.2",0,1,0,"0-239.007",1,1
"AC016251.1","AC016251.1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC016586.1","AC016586.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC016745.1","AC016745.1",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC016757.3","AC016757.3",0,5,0,"0-6.716",1,1
"AC016885.1","AC016885.1",2,4,3.079,"0.278-21.514",0.199849978045513,1
"AC017028.1","AC017028.1",0,2,0,"0-32.757",1,1
"AC017081.1","AC017081.1",0,1,0,"0-239.007",1,1
"AC017104.2","AC017104.2",1,11,0.559,"0.013-3.852",1,1
"AC018445.1","AC018445.1",0,3,0,"0-14.893",1,1
"AC018470.1","AC018470.1",4,24,1.025,"0.258-2.993",1,1
"AC018512.1","AC018512.1",0,1,0,"0-239.007",1,1
"AC018630.1","AC018630.1",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC018755.1","AC018755.1",1,6,1.025,"0.022-8.464",1,1
"AC018816.3","AC018816.3",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC018867.1","AC018867.1",0,2,0,"0-32.757",1,1
"AC018867.2","AC018867.2",0,2,0,"0-32.757",1,1
"AC019171.1","AC019171.1",2,8,1.539,"0.159-7.725",0.639392254739406,1
"AC019294.1","AC019294.1",4,11,2.241,"0.52-7.581",0.146976758973893,1
"AC020629.1","AC020629.1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"AC020907.1","AC020907.1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AC020922.1","AC020922.1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AC020952.1","AC020952.1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"AC021218.2","AC021218.2",0,3,0,"0-14.893",1,1
"AC021860.1","AC021860.1",2,4,3.079,"0.278-21.514",0.199849978045513,1
"AC022400.2","AC022400.2",1,10,0.615,"0.014-4.33",1,1
"AC022431.2","AC022431.2",0,2,0,"0-32.757",1,1
"AC022498.1","AC022498.1",0,1,0,"0-239.007",1,1
"AC022532.1","AC022532.1",0,8,0,"0-3.605",0.610068929015988,1
"AC024580.1","AC024580.1",0,1,0,"0-239.007",1,1
"AC024592.12","AC024592.12",2,9,1.368,"0.144-6.62",0.658821194906285,1
"AC024940.1","AC024940.1",0,4,0,"0-9.323",1,1
"AC025278.1","AC025278.1",0,1,0,"0-239.007",1,1
"AC025287.1","AC025287.1",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"AC026202.1","AC026202.1",1,10,0.615,"0.014-4.33",1,1
"AC026310.1","AC026310.1",1,9,0.683,"0.016-4.939",1,1
"AC026369.1","AC026369.1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"AC026407.1","AC026407.1",0,1,0,"0-239.007",1,1
"AC026740.1","AC026740.1",1,12,0.512,"0.012-3.468",1,1
"AC027309.1","AC027309.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC027763.2","AC027763.2",0,3,0,"0-14.893",1,1
"AC037459.4","AC037459.4",3,17,1.086,"0.204-3.763",0.752971839014173,1
"AC040160.1","AC040160.1",1,6,1.025,"0.022-8.464",1,1
"AC040977.1","AC040977.1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AC061975.10","AC061975.10",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AC061992.1","AC061992.1",1,4,1.538,"0.031-15.557",0.529226454405268,1
"AC062017.1","AC062017.1",0,4,0,"0-9.323",1,1
"AC068039.1","AC068039.1",0,2,0,"0-32.757",1,1
"AC068533.7","AC068533.7",9,10,5.574,"1.999-15.302",0.00048704787644885,1
"AC068620.1","AC068620.1",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"AC068987.1","AC068987.1",0,3,0,"0-14.893",1,1
"AC069368.3","AC069368.3",0,14,0,"0-1.854",0.241575351311578,1
"AC069547.1","AC069547.1",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC073333.1","AC073333.1",0,2,0,"0-32.757",1,1
"AC073342.1","AC073342.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC073343.1","AC073343.1",5,21,1.467,"0.431-4.009",0.398019319083079,1
"AC073610.5","AC073610.5",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC073657.1","AC073657.1",0,4,0,"0-9.323",1,1
"AC074091.13","AC074091.13",0,2,0,"0-32.757",1,1
"AC074212.3","AC074212.3",2,17,0.723,"0.081-3.054",1,1
"AC074389.6","AC074389.6",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC078925.1","AC078925.1",5,23,1.339,"0.397-3.611",0.5813206626191,1
"AC079210.1","AC079210.1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC079341.1","AC079341.1",0,1,0,"0-239.007",1,1
"AC079354.1","AC079354.1",4,15,1.643,"0.396-5.169",0.326861544700347,1
"AC079354.2","AC079354.2",0,1,0,"0-239.007",1,1
"AC079602.1","AC079602.1",0,2,0,"0-32.757",1,1
"AC079612.1","AC079612.1",0,2,0,"0-32.757",1,1
"AC083862.1","AC083862.1",0,2,0,"0-32.757",1,1
"AC087477.1","AC087477.1",2,8,1.539,"0.159-7.725",0.639392254739406,1
"AC087645.1","AC087645.1",0,11,0,"0-2.451",0.381372621441588,1
"AC090616.2","AC090616.2",0,5,0,"0-6.716",1,1
"AC090673.2","AC090673.2",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC091150.1","AC091150.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC091801.1","AC091801.1",0,1,0,"0-239.007",1,1
"AC091948.1","AC091948.1",0,2,0,"0-32.757",1,1
"AC092291.2","AC092291.2",0,1,0,"0-239.007",1,1
"AC092675.3","AC092675.3",0,1,0,"0-239.007",1,1
"AC092811.1","AC092811.1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC092850.1","AC092850.1",0,4,0,"0-9.323",1,1
"AC092964.2","AC092964.2",0,3,0,"0-14.893",1,1
"AC093157.1","AC093157.1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AC093323.1","AC093323.1",1,8,0.769,"0.017-5.744",1,1
"AC093677.1","AC093677.1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AC093802.1","AC093802.1",0,1,0,"0-239.007",1,1
"AC096582.1","AC096582.1",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"AC096644.1","AC096644.1",0,2,0,"0-32.757",1,1
"AC096677.1","AC096677.1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AC097381.1","AC097381.1",7,22,1.964,"0.707-4.775",0.112572186814865,1
"AC099552.4","AC099552.4",0,1,0,"0-239.007",1,1
"AC102948.2","AC102948.2",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC103801.2","AC103801.2",0,3,0,"0-14.893",1,1
"AC103809.2","AC103809.2",1,6,1.025,"0.022-8.464",1,1
"AC104472.1","AC104472.1",0,3,0,"0-14.893",1,1
"AC104534.3","AC104534.3",0,2,0,"0-32.757",1,1
"AC104794.4","AC104794.4",0,2,0,"0-32.757",1,1
"AC104809.3","AC104809.3",7,41,1.051,"0.397-2.373",0.835492824631188,1
"AC104841.2","AC104841.2",0,4,0,"0-9.323",1,1
"AC105020.1","AC105020.1",0,1,0,"0-239.007",1,1
"AC106873.4","AC106873.4",0,2,0,"0-32.757",1,1
"AC106876.2","AC106876.2",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC107021.1","AC107021.1",0,2,0,"0-32.757",1,1
"AC109829.1","AC109829.1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AC110615.1","AC110615.1",0,8,0,"0-3.605",0.610068929015988,1
"AC110619.2","AC110619.2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"AC110771.1","AC110771.1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AC110781.3","AC110781.3",2,1,12.317,"0.641-723.543",0.0531583015616563,1
"AC110792.1","AC110792.1",0,1,0,"0-239.007",1,1
"AC112205.1","AC112205.1",0,1,0,"0-239.007",1,1
"AC112693.2","AC112693.2",0,4,0,"0-9.323",1,1
"AC112715.2","AC112715.2",0,2,0,"0-32.757",1,1
"AC112721.1","AC112721.1",2,0,Inf,"1.156-Inf",0.0195378017873831,1
"AC114494.1","AC114494.1",0,5,0,"0-6.716",1,1
"AC114783.1","AC114783.1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"AC115618.1","AC115618.1",0,3,0,"0-14.893",1,1
"AC116407.2","AC116407.2",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC117395.1","AC117395.1",0,7,0,"0-4.27",0.603344925597232,1
"AC117834.1","AC117834.1",0,2,0,"0-32.757",1,1
"AC119673.1","AC119673.1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AC120194.1","AC120194.1",0,1,0,"0-239.007",1,1
"AC121757.1","AC121757.1",0,1,0,"0-239.007",1,1
"AC126614.1","AC126614.1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"AC127496.1","AC127496.1",0,6,0,"0-5.227",1,1
"AC129492.6","AC129492.6",1,3,2.051,"0.039-25.583",0.452645520331089,1
"AC131097.4","AC131097.4",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC131935.1","AC131935.1",0,1,0,"0-239.007",1,1
"AC131971.1","AC131971.1",0,1,0,"0-239.007",1,1
"AC132186.1","AC132186.1",0,4,0,"0-9.323",1,1
"AC132192.1","AC132192.1",0,1,0,"0-239.007",1,1
"AC132216.1","AC132216.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"AC135048.1","AC135048.1",3,8,2.31,"0.394-9.644",0.190882615970189,1
"AC135178.1","AC135178.1",0,1,0,"0-239.007",1,1
"AC136297.1","AC136297.1",0,2,0,"0-32.757",1,1
"AC136604.1","AC136604.1",0,3,0,"0-14.893",1,1
"AC137056.1","AC137056.1",3,9,2.053,"0.357-8.245",0.22966252990832,1
"AC138393.1","AC138393.1",1,0,Inf,"0.158-Inf",0.139835645965243,1
"AC138517.1","AC138517.1",0,5,0,"0-6.716",1,1
"AC138647.1","AC138647.1",1,8,0.769,"0.017-5.744",1,1
"AC139100.2","AC139100.2",0,1,0,"0-239.007",1,1
"AC139768.1","AC139768.1",0,2,0,"0-32.757",1,1
"AC140061.12","AC140061.12",0,1,0,"0-239.007",1,1
"AC140481.2","AC140481.2",0,3,0,"0-14.893",1,1
"AC145676.2","AC145676.2",1,1,6.154,"0.078-481.339",0.260133490143103,1
"AC187652.1","AC187652.1",1,2,3.077,"0.052-59.188",0.363621084433827,1
"ACAA1","ACAA1",8,17,2.909,"1.084-7.135",0.017034831543374,1
"ACAA2","ACAA2",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"ACACA","ACACA",10,28,2.208,"0.954-4.701",0.0353724869347765,1
"ACACB","ACACB",18,88,1.263,"0.712-2.124",0.395861501529256,1
"ACAD10","ACAD10",9,49,1.131,"0.487-2.336",0.703940190589545,1
"ACAD11","ACAD11",7,27,1.599,"0.586-3.776",0.315583990917852,1
"ACAD8","ACAD8",0,19,0,"0-1.317",0.0966063991443876,1
"ACAD9","ACAD9",8,22,2.246,"0.862-5.255",0.0598182894997793,1
"ACADL","ACADL",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"ACADM","ACADM",4,19,1.296,"0.32-3.91",0.552339193553217,1
"ACADS","ACADS",5,23,1.339,"0.397-3.611",0.5813206626191,1
"ACADSB","ACADSB",4,12,2.054,"0.482-6.795",0.265087990681448,1
"ACADVL","ACADVL",7,27,1.599,"0.586-3.776",0.315583990917852,1
"ACAN","ACAN",14,74,1.166,"0.606-2.092",0.539623407672089,1
"ACAP1","ACAP1",4,21,1.172,"0.292-3.484",0.770935104837492,1
"ACAP2","ACAP2",0,6,0,"0-5.227",1,1
"ACAP3","ACAP3",6,24,1.541,"0.514-3.882",0.29881183571356,1
"ACAT1","ACAT1",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"ACAT2","ACAT2",3,13,1.421,"0.259-5.182",0.481390254039294,1
"ACBD3","ACBD3",2,12,1.025,"0.111-4.615",1,1
"ACBD4","ACBD4",3,14,1.319,"0.243-4.737",0.722097011321823,1
"ACBD5","ACBD5",1,9,0.683,"0.016-4.939",1,1
"ACBD6","ACBD6",2,7,1.759,"0.178-9.255",0.365109577660504,1
"ACBD7","ACBD7",2,3,4.106,"0.343-35.884",0.146321784034376,1
"ACCS","ACCS",4,16,1.54,"0.374-4.786",0.511840078855896,1
"ACCSL","ACCSL",2,6,2.052,"0.202-11.499",0.310577073195175,1
"ACD","ACD",3,12,1.539,"0.278-5.716",0.455429043363959,1
"ACE","ACE",4,48,0.511,"0.133-1.399",0.231024715428994,1
"ACE2","ACE2",1,11,0.559,"0.013-3.852",1,1
"ACER1","ACER1",4,11,2.241,"0.52-7.581",0.146976758973893,1
"ACER2","ACER2",6,6,6.179,"1.648-23.159",0.00320271140861963,1
"ACER3","ACER3",1,7,0.879,"0.019-6.851",1,1
"ACHE","ACHE",4,13,1.896,"0.449-6.153",0.282760427400664,1
"ACIN1","ACIN1",13,32,2.518,"1.208-4.951",0.0080727400967195,1
"ACKR2","ACKR2",3,6,3.081,"0.498-14.447",0.11971330756652,1
"ACKR3","ACKR3",1,7,0.879,"0.019-6.851",1,1
"ACKR4","ACKR4",1,5,1.23,"0.026-11.012",0.595101749677219,1
"ACLY","ACLY",10,29,2.132,"0.924-4.517",0.0584154875523557,1
